District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Neemuch, MP,1.07,84,7586,198,7868,0.02,118866,21806,140672,12553,128119,0,67573,52742,24,40018,46172,34515
Panna, MP,0.79,57,7152,40,7249,0,75129,12266,87395,7409,79986,0,43336,32395,8,23826,28186,23873
Raisen, MP,2.05,187,8778,172,9137,0.01,151145,21044,172189,24446,147743,0,87810,63619,30,52424,57087,41949
Rajgarh, MP,1.38,118,8138,288,8544,0.02,187073,28000,215073,16403,198670,0,110643,86063,30,78059,58818,61047
Ratlam, MP,1.74,308,16814,568,17690,0.03,178887,34714,213601,27277,186324,0,100163,80395,22,56304,74111,50137
Rewa, MP,0.74,121,16026,192,16339,0.01,366558,54901,421459,29445,392014,0,207823,159808,58,100778,132578,134345
Sagar, MP,1.76,289,15655,491,16435,0.02,447414,59507,506921,89849,417072,0,256941,201701,67,138744,179333,142166
Satna, MP,0.97,115,11703,98,11916,0,257319,41687,299006,23517,275489,0,146603,112184,34,73837,104314,80699
Sehore, MP,0.5,50,9836,206,10092,0.01,225737,36621,262358,23323,239035,0,124868,100837,33,65158,80960,79587
Seoni, MP,0.42,28,6524,165,6717,0.01,163432,30138,193570,22251,171319,0,86075,78061,29,46313,59046,58922
Shahdol, MP,1.16,117,9832,104,10053,0.01,196192,17800,213992,11207,202785,0,111437,87449,16,69165,79364,51044
Shajapur, MP,0.84,53,5934,298,6285,0.03,123125,20560,143685,15630,128055,0,70422,52851,24,38945,44546,39787
Sheopur, MP,1.54,61,3723,187,3971,0.02,69473,11038,80511,11724,68787,0,40222,31621,8,26623,27481,18175
Shivpuri, MP,0.93,115,12092,150,12357,0.01,198161,28034,226195,23650,202545,0,115563,83725,33,79779,66623,53345
Singrauli, MP,0.87,76,8597,96,8769,0.01,121801,14941,136742,8304,128438,0,74810,46991,23,40085,40219,41503
Tikamgarh, MP,1.55,106,6669,65,6840,0.01,146608,19243,165851,39447,126404,0,83677,63367,25,38616,52546,55900
Ujjain, MP,0.91,171,18361,229,18761,0.01,439308,72527,511835,88112,423723,0,238434,200876,78,157218,164178,117874
Umaria, MP,0.91,57,6036,160,6253,0.02,67620,8169,75789,5269,70520,0,38998,29613,20,19951,28184,20769
Vidisha, MP,1.82,215,11522,102,11839,0.01,174385,30953,205338,15302,190036,0,97052,78711,17,44410,57521,74298
Guna, MP.,0.86,44,4881,173,5098,0.01,145728,26694,172422,17083,160827,0,85548,65482,16,40734,56462,53758
